Season,GameID,Team,VS,TeamID,OpponentID,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff,Win,AdjDE_Diff_Weighted,Upset_Score
2025,100,Auburn,Alabama State,1120,1106,44.2,44.2735,27.051,-17.2227,8.65548762,0.12416708,6.08510406,3.65576328,,-27.55632,6911.642679999997
2025,101,Louisville,Creighton,1257,1166,3.9,3.944,1.209,-2.7352,-2.40154859,-1.57907048,5.30055693,6.02168476,,-4.37632,1391.1027900000001
2025,102,Michigan,UC San Diego,1276,1895,3.6,3.0433,1.497,-1.5462,-0.48034301,6.59915451,8.10462824,1.59480701,,-2.47392,14452.774041999997
2025,103,Texas A&M,Yale,1401,1463,13.0,13.1372,1.837,-11.3005,-7.06450782,3.40732687,8.41615377,9.71517595,,-18.0808,793.0951299999922
2025,104,Ole Miss,North Carolina,1279,1314,2.4,2.5359,-1.016,-3.5525,-3.08640028,-2.36204036,-3.86189229,0.76849907,,-5.684000000000001,848.1729099999994
2025,105,Iowa State,Lipscomb,1235,1252,17.5,17.51438,6.772,-10.7426,-1.35430182,2.45116346,8.0387289,7.10719006,,-17.18816,9013.445530000014
2025,106,Marquette,New Mexico,1266,1307,4.3,4.2599,5.15,0.8906,1.2633556,-2.06354041,-1.43259477,-11.71409857,,1.42496,4075.8713939999925
2025,107,Michigan State,Bryant,1277,1136,26.3,26.38884,11.331,-15.057,0.16283083,0.1005929,1.12624943,7.38915092,,-24.0912,-9264.975494
2025,108,Florida,Norfolk State,1196,1313,37.8,37.34698,20.737,-16.6104,2.75377061,-3.16912471,5.19757338,-6.81143585,,-26.576639999999998,-141.1345400000101
2025,109,Uconn,Oklahoma,1163,1328,1.0,0.9868,2.903,1.916,0.59199185,-0.1440428,9.10729127,-8.98363776,,3.0656,-7367.037999999994
2025,110,Memphis,Colorado State,1272,1161,-2.0,-2.1587,-2.974,-0.8153,-2.06445775,1.89585243,8.33652736,7.86791031,,-1.30448,-2354.651899999999
2025,111,Maryland,Grand Canyon,1268,1213,19.1,19.11598,10.23,-8.8864,2.5498782,-3.93449989,-1.5482239,-11.01393532,,-14.218240000000002,-8104.62868
2025,112,Missouri,Drake,1281,1179,10.3,10.2462,12.718,2.472,2.37375896,-3.36704808,-2.31247885,3.88049582,,3.9552,8822.822641999988
2025,113,Texas Tech,UNC Wilmington,1403,1423,22.9,22.91262,13.009,-9.9031,3.23804064,-1.20715179,-1.19946085,-8.07448877,,-15.84496,-10347.487659999995
2025,114,Kansas,Arkansas,1242,1116,5.6,5.5678,3.078,-2.4893,0.41343348,0.23225035,2.85838368,-11.21157578,,-3.98288,-1391.5233200000002
2025,115,St. John's,Omaha,1385,1896,25.9,25.864169,2.839,-23.0252,-3.80519423,-0.18564359,8.17799529,-6.18363055,,-36.840320000000006,-4924.000659999996
2025,116,Duke,Mount St. Mary's,1181,1291,44.9,44.82404,27.808,-17.017,6.33001388,-7.32001699,4.06278855,1.04006883,,-27.2272,1169.4276820000066
2025,117,Mississippi State,Baylor,1280,1124,-1.0,-1.0722,-2.1,-1.0276,0.20096862,-1.02602275,-1.49704358,0.61229528,,-1.6441600000000003,-3157.1777900000084
2025,118,Oregon,Liberty,1132,1251,6.5,6.6165,4.147,-2.4689,-6.19929075,0.91744883,11.63126127,2.45104504,,-3.9502400000000004,-2373.8279039999993
2025,119,Arizona,Akron,1112,1103,19.1,19.16969,8.818,-10.3516,-2.55515523,-0.35675358,2.88075203,9.7716271,,-16.56256,-5261.30095
2025,120,BYU,VCU,1140,1433,1.8,1.6924,6.799,5.1067,4.74818615,1.02000993,-3.36947114,-1.47075239,,8.170720000000001,-4847.261439999989
2025,121,Wisconsin,Montana,1458,1285,25.6,26.04778,12.439,-13.6091,-1.88028459,-1.9824961,5.27678071,-2.19971535,,-21.77456,-2653.0815420000063
2025,122,Saint Mary's,Vanderbilt,1388,1435,7.0,6.9291,-2.693,-9.6222,-0.79908779,0.42415904,8.36290259,-2.58602165,,-15.39552,-5366.619469999999
2025,123,Alabama,Robert Morris,1104,1352,27.8,27.82398,19.565,-8.2591,5.0125044,-1.80497608,-0.53979428,1.69636946,,-13.21456,-850.8744250000076
2025,124,Houston,SIU Edwardsville,1222,1187,39.7,39.75782,21.336,-18.4217,3.72747453,-2.5144757,4.37474641,-4.90409978,,-29.474720000000005,-2413.646448000001
2025,125,Gonzaga,Georgia,1211,1208,7.9,7.925,8.143,0.2181,3.20047356,-5.65701968,-3.41936089,-8.97711128,,0.34896,-3447.658632000004
2025,126,Clemson,McNeese,1155,1270,10.3,10.2254,4.387,-5.8386,0.35857585,-0.49882053,-0.94213706,-7.481771,,-9.341759999999999,3426.5778099999984
2025,127,Purdue,High Point,1345,1888,14.4,14.48519,5.667,-8.818,-0.08193932,0.23391231,-3.02174275,-3.0070088,,-14.1088,-7899.187386363991
2025,128,Illinois,Xavier,1400,1462,6.3,6.4158,6.174,-0.2418,-1.58641278,-0.19950726,10.80905492,-2.58835633,,-0.38688,-1729.299106149995
2025,129,Kentucky,Troy,1246,1407,17.4,17.37849,16.162,-1.2169,5.9157565,-4.73700641,-9.89978158,-1.92575348,,-1.9470400000000003,-4410.628888156997
2025,130,UCLA,Utah State,1417,1429,6.5,6.5582,-3.957,-10.5145,-3.02424807,-0.05488539,-1.79388087,-4.71598499,,-16.8232,5708.803233404013
2025,131,Tennessee,Wofford,1397,1825,27.1,27.27952,6.299,-20.9804,-0.48211627,-0.81863003,0.36872455,3.57281772,,-33.56864,591.2916234540048
